;ANIMAL;GENDER;AH_W_G;PH_W_G;SHAVINGS_W_G;TOTAL;AH_L;AH_C;AH_STUMP_L;PH_L;PH_C;PH_STUMP_L;CALC_AGE;CALC_ARRIVAL;DH_YEAR;DH_MONTH;DH_QUARTER;W_DIFF;L_DIFF;C_DIFF;B_YEAR;B_MONTH;B_QUARTER;DIM_DEHORN;INT_DEHORN;CALC_PARITY;C_YEAR;C_MONTH;C_QUARTER;N_DEHORNINGS;GR_DAYS;G_TOTAL;G_AH_W;G_AH_L;G_AH_C;G_PH_W;G_PH_L;G_PH_C;DAYSDUE
1719;860;F;1305;110;65;1480;150;575;80;40;460;30;1929;NA;2015;5;2;1195;110;115;2010;2;1;NA;565;0;NA;NA;NA;3;565;2,619469027;2,309734513;0,265486726;1,017699115;0,194690265;0,07079646;0,814159292;NA
1720;861;M;691;56;47;794;180;500;90;30;380;15;869;NA;2014;6;2;635;150;120;2012;1;1;NA;NA;0;NA;NA;NA;1;869;0,913693901;0,795166858;0,207134638;0,575373993;0,064441887;0,03452244;0,437284235;NA
1721;861;F;1583;273;53;1909;230;575;80;90;525;20;NA;772;2010;11;4;1310;140;50;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;88
1722;862;F;1834;269;135;2238;180;595;70;60;540;40;NA;1889;2013;12;4;1565;120;55;NA;NA;NA;267;1117;2;2013;3;1;2;1117;2,003581021;1,641897941;0,161145927;0,532676813;0,240823635;0,053715309;0,48343778;495
1723;862;F;1163;216;97;1476;150;610;90;60;555;20;NA;360;2011;11;4;947;90;55;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;334
1724;862;F;1049;304;92;1445;100;580;80;40;570;20;NA;926;2013;5;2;745;60;10;NA;NA;NA;232;566;1;2012;10;3;2;566;2,553003534;1,85335689;0,176678445;1,024734982;0,537102473;0,070671378;1,007067138;699
1725;863;F;1040;210;110;1360;115;610;85;40;560;35;NA;1586;2015;3;1;830;75;50;NA;NA;NA;892;660;1;2012;10;3;3;660;2,060606061;1,575757576;0,174242424;0,924242424;0,318181818;0,060606061;0,848484848;39
1726;864;F;1255;609;NA;1864;95;570;NA;50;470;NA;NA;1626;2015;4;2;646;45;100;NA;NA;NA;1;40;2;2015;4;2;4;40;46,6;31,375;2,375;14,25;15,225;1,25;11,75;NA
1727;864;M;510;NA;31;541;180;420;70;NA;260;NA;892;NA;2015;3;1;NA;NA;160;2012;10;4;NA;NA;0;NA;NA;NA;1;892;0,606502242;0,571748879;0,201793722;0,470852018;NA;NA;0,291479821;NA
1728;865;M;550;70;NA;620;80;380;NA;30;270;NA;1019;NA;2015;7;3;480;50;110;2012;10;4;NA;127;0;NA;NA;NA;2;127;4,881889764;4,330708661;0,62992126;2,992125984;0,551181102;0,236220472;2,125984252;NA
1729;865;F;875;276;53;1204;360;540;85;110;590;20;NA;0;2010;11;4;599;250;-50;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;351
